candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,@mention,z_score
donald trump and rand paul,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
unmasking of incoming trump officials,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
school parliament at barry comp,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
govern policing in the age,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
visits jordan and saudi arabia,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump supporter triggers antifa communists,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
elected 2 protect us,1,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.0585446207472
criminal act w/ cover,1,4,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-0.0585446207472
msnbc laughs at trump,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
the thread: trump's vp,1,4,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
john thornhill: mark zuckerberg,1,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
watergate’s john dean: ‘half,1,4,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,-0.0585446207472
democratic senators: filibuster gorsuch—or,1,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
donald trump drunk-tweeting ‘fox,1,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
stage 3: justice garland,1,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
stage 1: filibuster gorsuch,1,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
susan rice in march,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0585446207472
charmain naidoo: south africa,1,4,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,-0.0585446207472
fnc’s housley: sources say,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
fnc's housley: sources say,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
monday's essential politics: one,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
what's on trump's mind,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
donald trump’s north korea,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
donald trump’s mostly false,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
breaking: senior wh official,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
breaking: senate judiciary committee,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
bulgaria politics: gerb wants,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
alert: susan rice busted,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
fox news poll: voters,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
trump watching fox: leave,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
icymi: meet ezra cohen-watnick,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
live: senate judiciary committee,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
breaking: report: susan rice,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
rep. maxine waters continues,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
watch: 'donald trump' announces,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
brookings' thomas e. mann,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
w/ president in washington,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
donald trump trusts 'fox,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
the party of no/resist,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
trump makes major announcement,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
melania trump levels feminists,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
feinstein on supreme court,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
ranking intelligence committee democrat,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump declares bay area,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump on north korea,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump declares solano county,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the age of jagmeet,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
ohio sheriff urges trump,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
fmr obama ethics czar,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the los angeles times,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump camp busted funneling,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
marvel exec blames diversity,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the queens democratic party,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
morning joe goes crazy,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
john oliver can’t believe,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
manufacturer gives away inventory,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
donald trump impersonator getting,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
new comedy central trump,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
women victimized by obama,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
pu news english trump,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
former trump aide seeks,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
fact checkers obliterate trump,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
federal judge rules trump,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
obama advisor susan rice,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the trump white house,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
assange tweets at trump,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
foreign leaders taking sides,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
rand paul and trump,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
tagged in the fbi,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
national association of manufacturers,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
89% of cleveland browns,1,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
"kellyanne ""baghdad bob"" conwy",1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
invokes possibility of impeachment,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
susan rice and hillary,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
majesty mrs melania trump,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0585446207472
71% in dec. 2011,1,4,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.0585446207472
trump premiering april 27,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.0585446207472
fb live 4/6 12pet,1,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
trump] in the 2016,1,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
ferrari f430 f1 coupe,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
quid pro quo 2,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
dump air force 1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
"april ""sexual assault awareness",1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.0585446207472
plausible trump's 'get 'em,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
trump nsc's ezra cohen-watnick,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
late-night’s anti-trump trump card,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
trump's america: week three,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
fbi's mccabe in trump-russia,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
department of education’s office,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
stupid trump’s “stupid watergate,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
trump's proposed budget cuts,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
president trump's supreme court,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
"harry reid rule"" route",1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
president el-sisi of egypt,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
trump and the f-word,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
trump and reagan: mccain,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
late-night trump talk show,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
red alert politics (red,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
form government by end-april,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
12-year-old donald j. trump,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
office of american innovation,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
u.s. president donald trump,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
dishonest president’: l.a. times,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
harassing state-legal pot suppliers,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
president donald j. trump,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
employers of high-skilled immigrants,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
senator bob dole).. 4/19,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
obama spying on trump,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
brother bobby attorney general,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
president trump official truck,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the right wing could,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
immunity in russian probes,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump funds yucca mt,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
hooters in the trump,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
chinese president xi jinping,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
newsmaker of the week,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
medical director ryan jacobsen,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump and north korea,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
tomb of the unknowns,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
ratdog at the beacon,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
mayberry ministry of truth,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
chuck todd on twitter,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
making of donald trump,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
xi and the gorsuch,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
nhl at the olympics,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
crazy green loving liberals,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
malema communists and cosatu,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump and a russian,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
sexual assault awareness month,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
columbus ohio trump rally,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump on china trade,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
top civil rights job,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
nunes on trump surveillance,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
susan rice and brian,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the wall street journal,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
scared of the truth,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
helped clinton rape accusers,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump resembled ronald reagan,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
tweet claiming president obama,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump campaign and kremlin,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
new white house admin,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
related laws trump officials,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
britain and the eu,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
russia in disastrous tweet,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
bad and the fake,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
telephone polls understating support,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
promote trade and security,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
nice job mister president,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
tony yayo talks loyalty,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump and the republic,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
slash epa budget goes,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
raised suspicions of obama,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
ted cruz on friday,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
tweet of the week,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump and the gop,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump oreilly hannity allies,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump and congressional gop,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
bad bet on sisi,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
forbes summit in israel,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
interesting...same ntl parks,1,3,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-0.0585446207472
trump on healthcare,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
u r ruining,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump’s changing trust,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
rep. adam schiff,1,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
nuke buriel site,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
sen. lindsey graham,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0585446207472
sen. john mccain,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0585446207472
mr. president: declassify,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0585446207472
dear mr trump,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0585446207472
31st mar-2nd apr,1,3,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.0585446207472
"april 4, 2017",1,3,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.0585446207472
icymi--&gt;&gt;tgif: 22 things,1,3,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,-0.0585446207472
arron banks: ‘brexit,1,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0585446207472
3 reasons america,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
support hr 669,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
trade surplus 2,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
the daily 202,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
the 5 tory,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0585446207472
video: the left,1,3,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,-0.0585446207472
ft: donald trump,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
sidebar: trump’s precedent,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
nh's biundo& lewandowski,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
note: fox news,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
bombshell: donald trump,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0585446207472
premier brad wall,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
the liar's party,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
trump's cabinet picks,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
bob dole’s reward,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
making america 1970,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
pete souza's ig,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
donald trump's arab,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
buyer’s remorse sets,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
donald trump's ferrari,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
review of dekalb,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
trump's defence secretary,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
ahead of thursday,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
trump's tv obsession,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
today's part ii,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0585446207472
live blog: senate,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
pcgtw: icymi: thom_hartmann,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
confirmed: top obama,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,-0.0585446207472
news: trump still,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.0585446207472
smdh.. shameful rand,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.0585446207472
trump-era in dc&gt;&gt;&gt;“i’ve,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
daily post: trump,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
judd gregg: nuclear,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
report: susan rice,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
inbox: comedy central,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
attn: democratic senators,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
blockbuster: report-susan rice,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
president trump: us,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
newest alt-right politics,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
candice e. jackson,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
trump/russia connection found,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
joy behar: trump,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
trump praises 'fox,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
financial news) trump,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
sources: susan rice,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
q&;a: erin simpson,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
alj: donald trump,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0585446207472
dp ruto acquires,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0585446207472
another texas republican,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
advocacy orgs react,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
comedy central unveils,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
failing comedy central,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the breakfast club,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the hot press,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
newtown school board,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
lots of trump,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
members of congress,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
obama official admits,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
look american people,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump made ivanka,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
buzz surrounds nominee,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
new trump republican,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
congress members call,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
pew research center,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
one number proves,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
democrat chief rants,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
cnn hires reporter,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
dear president trump,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
mass ag healey,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
house and senate,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
top dem goes,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
hundreds of lgbt,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump adviser urges,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
white house meeting,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
us president trump,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
comment on trump,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
dunya kay sath,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump accidentally admits,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
gov jerry brown,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
freshman gop indiana,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
dear donald trump,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
trump models might,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
the supreme court,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
millions of vietnamese,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
glad president trump,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
watch john oliver,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
mon st show,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
ivanka and jared,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
crude politics feat,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
wish the familly,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
low iq rice,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
iran and russia,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585446207472
